Country,Fiscal Year,Population,Annual Growth Rate,Rate of Natural Increase,Population Density,Crude Birth Rate,Net Migration Rate,"Net International Migrants, Both Sexes"
Ecuador,2007,14291896,2.02,2.0,57.5,24.8,0.2,3411.0
Egypt,2007,76021187,2.25,2.29,76.4,28.1,-0.4,-28997.0
El Salvador,2007,5942003,0.46,1.5,286.8,21.0,-10.4,-62000.0
Equatorial Guinea,2007,839466,5.44,2.98,29.9,40.3,24.7,20722.0
Eritrea,2007,4969813,2.31,2.81,49.2,36.8,-5.0,-25044.0
Estonia,2007,1316118,-0.39,-0.12,31.0,12.0,-2.6,-3464.0
Eswatini,2007,1018799,-0.29,1.84,59.2,33.4,-21.3,-21684.0
Ethiopia,2007,75618830,2.72,2.73,69.0,36.9,-0.1,-3905.0
Faroe Islands,2007,48487,0.36,0.48,34.8,13.5,-1.2,0.0
Fiji,2007,851993,1.02,1.8,46.6,23.8,-7.8,-6655.0
Finland,2007,5280151,0.44,0.18,17.4,11.1,2.6,13586.0
France,2007,63883224,0.58,0.46,99.8,12.9,1.2,73599.0
French Polynesia,2007,259838,1.13,1.24,67.9,17.1,-1.1,0.0
Gabon,2007,1458607,3.61,2.19,5.7,31.1,14.3,20821.0
"Gambia, The",2007,1598384,2.94,3.25,157.9,40.5,-3.2,-5051.0
Gaza Strip,2007,1377597,2.58,3.86,0.0,42.5,-12.8,-17648.0
Georgia,2007,4824432,-0.19,0.24,69.2,11.5,-4.3,-20700.0
Germany,2007,82236860,-0.12,-0.17,235.9,8.3,0.5,43912.0
Ghana,2007,22781416,2.58,2.47,100.1,34.0,1.1,25107.0
Gibraltar,2007,28522,0.28,0.62,0.0,13.3,-3.4,0.0
Greece,2007,10982200,-0.05,0.02,84.1,10.2,-0.7,-7547.0
Greenland,2007,57523,0.05,0.65,0.0,15.0,-6.0,0.0
Grenada,2007,105887,0.65,1.05,307.8,17.9,-4.0,0.0
Guam,2007,161113,0.51,1.66,296.2,21.6,-11.5,-1853.0
Guatemala,2007,13305752,2.25,2.42,124.2,29.9,-1.8,-23498.0
Guernsey,2007,63743,0.52,0.22,817.2,10.5,3.0,0.0
Guinea,2007,8860380,2.55,2.62,36.1,38.4,-0.7,-6242.0
Guinea-Bissau,2007,1412248,2.37,2.9,50.2,41.5,-5.3,-7481.0
Guyana,2007,785687,0.29,1.3,4.0,19.3,-10.1,-7913.0
Haiti,2007,9363931,1.53,1.93,339.8,28.9,-4.1,-38036.0
Honduras,2007,7521708,2.15,2.29,67.2,28.0,-1.3,-10006.0
Hong Kong,2007,7003726,0.66,0.28,0.0,8.8,3.9,27020.0
Hungary,2007,10034123,-0.13,-0.35,112.0,9.7,2.2,21894.0
Iceland,2007,311492,2.49,0.84,3.1,14.6,16.5,5132.0
India,2007,1172223357,1.42,1.46,394.3,22.2,-0.4,-516067.0
Indonesia,2007,236887116,1.35,1.47,130.8,21.2,-1.2,-282950.0
Iran,2007,72203122,1.25,1.3,47.1,18.4,-0.5,-34304.0
Iraq,2007,26534970,-0.37,2.8,60.7,34.4,-31.7,-840532.0
Ireland,2007,4419987,2.49,0.96,64.2,16.0,15.3,67600.0
Isle of Man,2007,81347,1.06,0.16,142.2,11.3,9.0,0.0
Israel,2007,6989575,1.79,1.57,325.1,21.1,2.2,15304.0
Italy,2007,59626719,0.81,-0.02,202.7,9.5,8.3,492823.0
Jamaica,2007,2850381,-0.08,1.24,263.2,19.5,-13.2,-37650.0
Japan,2007,127805148,0.04,0.04,350.6,9.0,0.0,3598.0
Jersey,2007,90452,1.57,0.36,779.8,11.4,12.2,1100.0
Jordan,2007,6355001,2.46,2.46,71.6,28.6,0.0,0.0
Kazakhstan,2007,16455510,1.06,1.0,6.1,19.8,0.7,10962.0
Kenya,2007,36236652,2.86,3.19,63.7,39.2,-3.3,-120751.0
Kiribati,2007,95687,1.46,1.76,118.0,25.4,-3.0,0.0
"Korea, North",2007,23956595,0.59,0.58,199.0,15.0,0.1,3178.0
"Korea, South",2007,48947199,0.67,0.51,505.0,10.1,1.6,77670.0
Kosovo,2007,1785393,0.52,1.22,164.0,19.3,-7.0,-12544.0
Kuwait,2007,2375764,2.45,2.03,133.3,22.6,4.2,9851.0
Kyrgyzstan,2007,5255556,0.66,1.62,27.4,23.6,-9.6,-50648.0
Laos,2007,6039553,1.89,2.01,26.2,28.5,-1.2,-7500.0
Latvia,2007,2220509,-0.77,-0.41,35.7,10.8,-3.6,-7946.0
Lebanon,2007,4806670,2.18,1.6,469.9,20.7,5.8,27828.0
Lesotho,2007,1942992,0.84,1.27,64.0,30.8,-4.3,-8301.0
Liberia,2007,3390489,4.84,3.01,35.2,41.7,18.3,61939.0
Libya,2007,5907828,2.37,2.15,3.4,25.8,2.1,12657.0
Liechtenstein,2007,35390,0.53,0.35,221.2,9.9,1.8,0.0
Lithuania,2007,3230565,-1.21,-0.48,51.5,9.3,-7.3,-23497.0
Luxembourg,2007,482297,1.58,0.33,186.5,11.4,12.4,6001.0
Macau,2007,525635,4.44,0.54,0.0,8.6,38.9,20456.0
Madagascar,2007,19146319,2.81,2.81,32.9,35.9,0.0,0.0
Malawi,2007,13621081,3.28,3.45,144.8,42.6,-1.7,-23352.0
Malaysia,2007,27369040,1.99,1.24,83.3,16.7,7.5,205235.0
Maldives,2007,364994,5.6,1.17,0.0,15.4,44.3,16175.0
Mali,2007,13225656,3.02,3.44,10.8,47.6,-4.2,-56128.0
Malta,2007,409389,0.54,0.16,0.0,9.2,3.8,1562.0
Marshall Islands,2007,61763,2.19,2.76,341.2,32.3,-5.7,0.0
Mauritania,2007,3027723,2.7,3.25,2.9,40.1,-5.5,-16676.0
Mauritius,2007,1261224,0.63,0.67,621.3,13.4,-0.3,0.0
Mexico,2007,109344533,1.36,1.6,56.2,21.0,-2.4,-258824.0
"Micronesia, Federated States of",2007,107794,-0.16,1.95,153.6,24.1,-21.0,-2268.0
Moldova,2007,3942774,-0.28,-0.15,119.9,11.2,-1.3,-5102.0
Monaco,2007,30831,-0.36,0.0,0.0,7.3,-3.6,0.0
Mongolia,2007,2666190,1.31,1.4,1.7,20.5,-0.9,-2500.0
Montenegro,2007,620495,0.03,0.3,46.1,12.6,-2.7,-1697.0
Montserrat,2007,4512,24.96,-0.02,44.2,9.5,249.8,1127.0
Morocco,2007,31078402,1.28,1.52,43.4,22.1,-2.4,-75390.0
Mozambique,2007,21396604,2.2,2.64,27.2,42.6,-4.5,-95301.0
Namibia,2007,2095758,1.31,2.05,2.5,31.7,-7.4,-15466.0
Nauru,2007,9096,0.46,2.22,433.1,28.8,-17.6,0.0
Nepal,2007,25732124,1.02,1.89,179.5,25.8,-8.7,-224205.0
Netherlands,2007,16351023,0.26,0.3,482.4,11.1,-0.4,-5757.0
New Caledonia,2007,240451,1.67,1.2,13.2,17.0,4.7,1134.0
New Zealand,2007,4131984,0.99,0.86,15.6,15.5,1.3,5491.0
Nicaragua,2007,5403845,1.48,1.85,45.0,23.3,-3.7,-19984.0
Niger,2007,13936205,3.85,3.97,11.0,55.0,-1.2,-16074.0
Nigeria,2007,152884914,2.76,2.79,167.9,41.5,-0.3,-47289.0
North Macedonia,2007,2065917,0.2,0.15,81.2,11.0,0.5,0.0
Northern Mariana Islands,2007,63650,-4.1,2.05,134.9,23.9,-61.5,-3917.0
Norway,2007,4710953,1.19,0.35,15.5,12.4,8.4,39652.0
Oman,2007,2797440,1.86,1.9,9.0,22.6,-0.4,-1225.0
Pakistan,2007,176015175,2.42,2.54,228.3,33.3,-1.2,-211758.0
Palau,2007,20576,0.54,0.43,44.8,12.3,1.2,0.0
Panama,2007,3318573,1.69,1.54,44.6,20.3,1.5,4849.0
Papua New Guinea,2007,6530705,2.62,2.62,14.4,32.7,0.0,0.0
Paraguay,2007,6109837,1.49,1.5,15.4,19.6,-0.1,0.0
Peru,2007,28717915,1.39,1.79,22.4,23.0,-3.9,-112447.0
Philippines,2007,88820071,2.0,2.16,297.9,27.0,-1.6,-143572.0
Poland,2007,38537963,0.01,0.03,126.7,10.1,-0.2,-5968.0
Portugal,2007,10618141,0.23,0.02,116.1,10.0,2.1,21771.0
Puerto Rico,2007,3783221,0.0,0.0,426.6,0.0,0.0,0.0
Qatar,2007,1268369,11.75,1.08,109.5,12.4,106.8,135435.0
Romania,2007,21075777,-0.78,-0.18,91.7,10.2,-6.0,-126079.0
Russia,2007,143407480,-0.07,-0.33,8.8,11.2,2.6,366388.0
Rwanda,2007,9266882,2.52,2.95,375.7,38.7,-4.3,-40264.0
Saint Barthelemy,2007,7538,-0.64,0.64,301.5,11.9,-12.7,0.0
"Saint Helena, Ascension, and Tristan da Cunha",2007,7571,0.54,0.54,19.2,11.9,0.0,0.0
Saint Kitts and Nevis,2007,48653,0.82,0.69,186.4,14.2,1.3,0.0
Saint Lucia,2007,158703,0.42,0.88,261.9,15.7,-4.5,0.0
Saint Martin,2007,28889,1.67,1.36,535.0,17.3,3.1,0.0
Saint Pierre and Miquelon,2007,6128,-0.8,0.16,25.3,9.3,-9.6,0.0
Saint Vincent and the Grenadines,2007,105233,-0.37,0.9,270.5,16.0,-12.7,-1337.0
Samoa,2007,187956,0.86,2.13,66.6,26.8,-12.7,-2377.0
San Marino,2007,30347,1.38,0.22,497.5,9.8,11.6,0.0
Sao Tome and Principe,2007,164708,2.21,3.23,170.9,41.6,-10.2,-1674.0
Saudi Arabia,2007,25200107,3.62,1.73,11.7,20.6,18.9,476367.0
Senegal,2007,11556408,3.02,3.22,60.0,40.1,-2.0,-23600.0
Serbia,2007,7346025,-0.54,-0.47,94.8,9.3,-0.7,-5000.0
Seychelles,2007,85529,1.0,0.89,188.0,16.4,1.1,0.0
Sierra Leone,2007,5563881,2.95,2.47,77.7,41.3,4.8,26619.0
Singapore,2007,4962791,1.76,0.85,0.0,11.9,9.2,45407.0
Sint Maarten,2007,35432,2.38,0.94,0.0,13.3,14.3,0.0
Slovakia,2007,5411218,0.07,0.01,112.5,10.1,0.5,2939.0
Slovenia,2007,2038124,0.76,0.06,101.1,9.7,7.0,14250.0
Solomon Islands,2007,518003,2.41,2.62,18.5,30.5,-2.1,-1087.0
Somalia,2007,11511940,3.27,3.63,18.4,51.1,-3.6,-41445.0
South Africa,2007,49648943,1.44,1.02,40.9,20.9,4.2,209995.0
South Sudan,2007,8383439,0.0,0.0,13.0,0.0,0.0,0.0
Spain,2007,45211636,1.81,0.23,90.6,10.9,15.8,716257.0
Sri Lanka,2007,20285225,0.9,1.33,313.9,19.0,-4.2,-85692.0
Sudan,2007,32405131,0.0,0.0,17.4,0.0,0.0,0.0
Suriname,2007,508847,1.57,1.49,3.3,21.5,0.8,0.0
Sweden,2007,9201390,0.76,0.17,22.4,11.7,5.9,54067.0
Switzerland,2007,7586904,1.33,0.18,189.7,9.8,11.5,87303.0
Syria,2007,20653852,6.41,2.53,111.1,28.8,38.8,801524.0
Taiwan,2007,22901085,0.3,0.22,709.9,8.3,0.8,19278.0
Tajikistan,2007,6994317,2.02,2.23,49.4,29.0,-2.1,-14478.0
Tanzania,2007,40426708,2.81,2.93,45.6,39.6,-1.2,-47446.0
Thailand,2007,64979945,0.71,0.61,127.2,12.9,1.0,67005.0
Timor-Leste,2007,1007004,2.31,2.83,67.7,37.7,-5.2,-5234.0
Togo,2007,5690380,2.64,3.03,104.6,38.3,-3.9,-22168.0
Tonga,2007,104387,0.49,2.31,145.6,28.0,-18.2,-1900.0
Trinidad and Tobago,2007,1300849,0.52,0.68,253.7,14.5,-1.5,-1996.0
Tunisia,2007,10212137,0.92,1.13,65.7,17.4,-2.1,-21447.0
Turkey,2007,72183220,1.18,1.35,93.8,19.3,-1.8,-128134.0
Turkmenistan,2007,4774068,1.15,1.35,10.2,19.8,-2.0,-9620.0
Turks and Caicos Islands,2007,33904,10.27,1.43,35.8,18.6,88.5,2999.0
Tuvalu,2007,10285,0.57,1.29,395.6,22.8,-7.2,0.0
Uganda,2007,28609591,2.67,3.79,145.2,48.3,-11.1,-318518.0
Ukraine,2007,46406827,-0.59,-0.63,80.1,10.2,0.4,16838.0
United Arab Emirates,2007,5532409,21.94,1.2,66.2,13.3,207.4,1147431.0
United Kingdom,2007,61249260,0.7,0.32,253.2,12.6,3.8,232998.0
United States,2007,301231207,0.0,0.0,32.9,0.0,0.0,0.0
Uruguay,2007,3308558,-0.06,0.41,18.9,14.3,-4.7,-15692.0
Uzbekistan,2007,27309830,1.51,1.73,64.2,22.3,-2.2,-59270.0
Vanuatu,2007,228655,2.39,2.57,18.8,30.4,-1.8,0.0
Venezuela,2007,27296443,2.28,1.7,30.9,22.1,5.8,158340.0
Vietnam,2007,87113791,1.26,1.3,280.9,18.5,-0.4,-35182.0
"Virgin Islands, British",2007,27442,2.69,0.58,181.7,10.2,21.2,0.0
"Virgin Islands, U.S.",2007,108337,0.08,0.96,311.3,16.4,-8.8,0.0
Wallis and Futuna,2007,15192,0.3,0.94,107.0,14.5,-6.5,0.0
West Bank,2007,2265288,2.07,2.62,401.6,30.1,-5.4,-12271.0
Yemen,2007,22165377,2.67,3.09,42.0,38.2,-4.2,-93291.0
Zambia,2007,12449845,3.18,3.24,16.7,43.5,-0.6,-7928.0
Zimbabwe,2007,13128369,-0.23,2.06,33.9,35.1,-22.9,-300918.0
Afghanistan,2008,31319842,4.07,3.36,48.0,42.3,7.1,222570.0
Albania,2008,2903403,-0.98,0.6,106.0,11.5,-15.7,-45615.0
Algeria,2008,34619260,1.83,1.93,14.5,23.6,-1.0,-34771.0
American Samoa,2008,56361,-0.67,1.95,284.7,23.7,-26.2,-1474.0
Andorra,2008,82631,1.91,0.51,176.6,10.6,14.0,1156.0
Angola,2008,20418534,4.4,3.35,16.4,45.8,10.5,214572.0
Anguilla,2008,14098,2.31,0.85,154.9,13.1,14.6,0.0
Antigua and Barbuda,2008,84487,1.28,1.04,190.7,16.8,2.4,0.0
Argentina,2008,40531410,1.06,1.1,14.8,18.4,-0.4,-15000.0
Armenia,2008,3076467,-0.07,0.53,109.1,14.3,-6.0,-18483.0
Aruba,2008,101494,1.5,0.51,563.9,12.8,9.9,1000.0
Australia,2008,21040262,2.23,0.73,2.7,14.1,15.0,315690.0
Austria,2008,8406796,0.33,0.03,102.0,9.3,2.9,24650.0
Azerbaijan,2008,9120355,1.09,1.07,110.4,17.8,0.1,1100.0
"Bahamas, The",2008,336626,1.89,0.93,33.6,14.6,9.6,3222.0
Bahrain,2008,1107295,3.41,1.28,0.0,15.4,21.3,23590.0
Bangladesh,2008,143350005,0.99,1.63,0.0,21.6,-6.3,-908279.0
Barbados,2008,286851,0.49,0.52,667.1,12.7,-0.3,0.0
Belarus,2008,9712051,-0.18,-0.27,47.9,11.1,0.8,8146.0
Belgium,2008,10692800,0.81,0.21,353.2,11.9,6.0,63875.0
Belize,2008,309202,2.31,1.91,13.6,23.5,4.1,1262.0
Benin,2008,8602404,3.19,3.16,77.8,42.2,0.4,3163.0
Bermuda,2008,67478,0.67,0.45,0.0,11.7,2.3,0.0
Bhutan,2008,739889,1.34,1.34,19.3,20.8,0.0,0.0
Bolivia,2008,9646692,1.96,2.08,8.9,27.3,-1.2,-11540.0
Bosnia and Herzegovina,2008,3888949,-0.06,0.0,76.0,8.8,-0.6,-2366.0
Botswana,2008,1911356,1.73,1.4,3.4,26.4,3.3,6246.0
Brazil,2008,194195572,0.99,0.99,23.2,16.0,0.0,1178.0
Brunei,2008,381187,1.78,1.5,72.4,18.3,2.7,1044.0
Bulgaria,2008,7465356,-0.55,-0.44,68.8,10.4,-1.1,-8343.0
Burkina Faso,2008,14753815,2.87,3.28,53.9,44.4,-4.2,-61596.0
Burma,2008,50678671,0.71,0.98,77.5,21.3,-2.8,-140422.0
Burundi,2008,8317555,4.35,3.41,323.9,43.4,9.5,78800.0
Cabo Verde,2008,493496,1.53,1.6,122.4,22.6,-0.7,0.0
Cambodia,2008,13969008,1.32,2.07,79.1,27.3,-7.5,-105022.0
Cameroon,2008,19746892,2.87,2.82,41.8,39.9,0.5,9558.0
Canada,2008,33403579,1.23,0.42,3.7,11.3,8.1,269822.0
Cayman Islands,2008,47775,2.45,0.76,181.0,12.5,16.9,0.0
Central African Republic,2008,4518406,1.53,2.14,7.3,37.6,-6.1,-27508.0
Chad,2008,11135832,3.9,3.59,8.8,49.8,3.1,34120.0
Chile,2008,16396031,0.95,0.95,22.0,15.0,0.0,0.0
China,2008,1322155068,0.64,0.66,141.8,13.4,-0.2,-236667.0
Colombia,2008,43168865,1.13,1.25,41.6,17.8,-1.2,-52445.0
Comoros,2008,676977,2.49,2.78,302.9,36.6,-2.9,-1975.0
Congo (Brazzaville),2008,3928876,2.8,3.15,11.5,38.2,-3.5,-13900.0
Congo (Kinshasa),2008,67979602,3.34,3.36,30.0,45.3,-0.2,-11100.0
Cook Islands,2008,12241,-3.34,0.97,51.9,16.5,-43.1,0.0
Costa Rica,2008,4391176,1.55,1.28,86.0,17.1,2.7,11961.0
Croatia,2008,4434261,-0.03,-0.19,79.2,9.9,1.6,7053.0
Cuba,2008,11250701,-0.01,0.32,102.4,10.9,-3.3,-36978.0
Curaçao,2008,140507,1.06,0.56,316.5,14.2,5.0,0.0
Cyprus,2008,1066830,1.72,0.49,115.4,11.2,12.3,13113.0
Czechia,2008,10455430,0.83,0.14,135.4,11.4,6.9,71790.0
Côte d’Ivoire,2008,20212393,2.91,2.85,63.6,39.6,0.6,12628.0
Denmark,2008,5491488,0.66,0.19,129.4,11.8,4.7,25591.0
Djibouti,2008,708122,2.15,1.84,30.5,27.0,3.0,2147.0
Dominica,2008,72897,0.22,0.76,97.1,15.6,-5.4,0.0
Dominican Republic,2008,9219827,1.31,1.56,190.8,22.0,-2.5,-22826.0
Ecuador,2008,14488773,0.73,1.93,58.3,24.1,-12.1,-175161.0
Egypt,2008,77777097,2.31,2.36,78.1,28.8,-0.5,-38011.0
El Salvador,2008,5971492,0.53,1.49,288.2,20.8,-9.6,-57000.0
Equatorial Guinea,2008,886190,5.39,2.95,31.6,39.8,24.4,21582.0
Eritrea,2008,5108008,3.17,2.76,50.6,36.0,4.1,20880.0
Estonia,2008,1311467,-0.32,-0.05,30.9,12.2,-2.7,-3556.0
Eswatini,2008,1016929,-0.08,1.77,59.1,32.6,-18.5,-18838.0
Ethiopia,2008,77695164,2.7,2.73,70.9,36.4,-0.3,-26585.0
Faroe Islands,2008,48664,0.37,0.46,34.9,13.3,-0.8,0.0
Fiji,2008,860394,0.95,1.71,47.1,23.0,-7.7,-6590.0
Finland,2008,5304716,0.49,0.2,17.5,11.2,2.9,15457.0
France,2008,64250843,0.57,0.46,100.3,13.0,1.2,73847.0
French Polynesia,2008,262881,1.2,1.31,68.7,17.6,-1.1,0.0
Gabon,2008,1512483,3.64,2.18,5.9,30.8,14.7,22164.0
"Gambia, The",2008,1646454,2.99,3.2,162.7,39.8,-2.1,-3400.0
Gaza Strip,2008,1416563,2.99,3.64,0.0,41.0,-6.4,-9091.0
Georgia,2008,4823790,0.17,0.38,69.2,13.3,-2.1,-10200.0
Germany,2008,82065369,-0.3,-0.23,235.4,8.3,-0.7,-55743.0
Ghana,2008,23368584,2.51,2.49,102.7,34.0,0.2,5256.0
Gibraltar,2008,28603,0.29,0.62,0.0,13.4,-3.4,0.0
Greece,2008,10996346,0.31,0.09,84.2,10.8,2.1,23485.0
Greenland,2008,57552,0.05,0.64,0.0,14.9,-5.9,0.0
Grenada,2008,106564,0.63,1.02,309.8,17.7,-3.9,0.0
Guam,2008,161917,0.49,1.63,297.6,21.4,-11.4,-1853.0
Guatemala,2008,13605801,2.21,2.39,127.0,29.6,-1.8,-24638.0
Guernsey,2008,64095,0.59,0.29,821.7,10.6,3.0,0.0
Guinea,2008,9090759,2.58,2.62,37.0,38.0,-0.4,-3738.0
Guinea-Bissau,2008,1446280,2.4,2.91,51.4,41.2,-5.2,-7481.0
Guyana,2008,786981,0.04,1.24,4.0,18.7,-12.0,-9430.0
Haiti,2008,9509549,1.56,1.91,345.0,28.4,-3.5,-33638.0
Honduras,2008,7681796,2.06,2.21,68.7,27.1,-1.5,-11223.0
Hong Kong,2008,7036409,0.27,0.29,0.0,9.0,-0.2,-1180.0
Hungary,2008,10027594,0.0,-0.31,111.9,9.9,3.1,31241.0
Iceland,2008,317363,1.26,0.9,3.2,15.2,3.6,1144.0
India,2008,1188680299,1.37,1.42,399.8,21.7,-0.4,-492519.0
Indonesia,2008,240064968,1.31,1.44,132.5,20.9,-1.2,-296462.0
Iran,2008,73119798,1.27,1.29,47.7,18.2,-0.2,-10835.0
Iraq,2008,27077388,4.37,2.88,61.9,34.2,14.9,404537.0
Ireland,2008,4517709,1.89,1.04,65.6,16.6,8.5,38402.0
Isle of Man,2008,82201,1.03,0.17,143.7,11.9,8.7,0.0
Israel,2008,7115836,1.8,1.62,331.0,21.4,1.8,12800.0
Italy,2008,60091305,0.74,-0.01,204.3,9.6,7.6,453765.0
Jamaica,2008,2847477,-0.12,1.19,262.9,19.1,-13.1,-37256.0
Japan,2008,127826531,-0.01,0.03,350.7,9.0,-0.4,-44626.0
Jersey,2008,91628,1.02,0.25,789.9,10.6,7.6,0.0
Jordan,2008,6512446,2.43,2.43,73.3,28.2,0.0,0.0
Kazakhstan,2008,16645324,1.23,1.23,6.2,21.6,0.1,1118.0
Kenya,2008,37310003,2.98,3.09,65.6,38.1,-1.2,-43123.0
Kiribati,2008,97060,1.39,1.69,119.7,24.6,-2.9,0.0
"Korea, North",2008,24098471,0.59,0.58,200.1,14.8,0.1,1786.0
"Korea, South",2008,49247729,0.56,0.45,508.1,9.5,1.1,55296.0
Kosovo,2008,1794860,0.54,1.2,164.9,19.0,-6.6,-11848.0
Kuwait,2008,2433178,2.33,2.02,136.6,22.4,3.1,7623.0
Kyrgyzstan,2008,5298684,0.98,1.69,27.6,24.2,-7.1,-37790.0
Laos,2008,6154409,1.88,2.0,26.7,28.0,-1.2,-7500.0
Latvia,2008,2197506,-1.32,-0.3,35.3,11.1,-10.2,-22367.0
Lebanon,2008,4897602,1.57,1.56,478.7,20.2,0.1,0.0
Lesotho,2008,1959558,0.86,1.28,64.6,30.3,-4.2,-8299.0
Liberia,2008,3533065,3.43,3.02,36.7,41.2,4.1,14299.0
Libya,2008,6053544,2.5,2.25,3.4,26.7,2.5,15269.0
Liechtenstein,2008,35600,0.65,0.41,222.5,9.8,2.5,0.0
Lithuania,2008,3195989,-0.94,-0.39,51.0,9.9,-5.6,-17755.0
Luxembourg,2008,490953,1.98,0.41,189.9,11.4,15.7,7700.0
Macau,2008,546033,3.2,0.58,0.0,9.0,26.2,14303.0
Madagascar,2008,19689114,2.79,2.79,33.9,35.6,0.0,0.0
Malawi,2008,14077435,3.31,3.46,149.6,42.3,-1.5,-21555.0
Malaysia,2008,27924658,2.03,1.3,85.0,17.5,7.4,205235.0
Maldives,2008,385955,5.57,1.12,0.0,14.8,44.5,17168.0
Mali,2008,13636273,3.1,3.47,11.2,47.4,-3.7,-50552.0
Malta,2008,412044,0.75,0.19,0.0,9.7,5.6,2324.0
Marshall Islands,2008,63110,2.13,2.68,348.7,31.5,-5.5,0.0
Mauritania,2008,3101956,2.15,3.24,3.0,39.8,-10.8,-33578.0
Mauritius,2008,1268899,0.58,0.59,625.1,12.7,-0.1,0.0
Mexico,2008,110876639,1.42,1.59,57.0,20.9,-1.7,-183155.0
"Micronesia, Federated States of",2008,107601,-0.2,1.9,153.3,23.6,-21.0,-2264.0
Moldova,2008,3933442,-0.2,-0.09,119.6,11.6,-1.1,-4240.0
Monaco,2008,30730,-0.3,-0.03,0.0,7.2,-2.7,0.0
Mongolia,2008,2702400,1.39,1.48,1.7,21.3,-0.9,-2500.0
Montenegro,2008,621000,0.14,0.41,46.2,13.3,-2.7,-1697.0
Montserrat,2008,5082,0.28,0.28,49.8,11.8,0.0,0.0
Morocco,2008,31474893,1.26,1.5,43.9,21.9,-2.4,-75347.0
Mozambique,2008,21889544,2.36,2.79,27.8,43.6,-4.3,-94101.0
Namibia,2008,2123796,1.35,2.07,2.6,31.3,-7.3,-15466.0
Nauru,2008,9139,0.5,2.21,435.2,28.7,-17.1,0.0
Nepal,2008,25998040,1.04,1.85,181.4,25.2,-8.1,-210071.0
Netherlands,2008,16410055,0.46,0.3,484.2,11.3,1.6,25737.0
New Caledonia,2008,244446,1.62,1.18,13.4,16.9,4.5,1088.0
New Zealand,2008,4171974,0.93,0.84,15.8,15.4,0.9,3814.0
Nicaragua,2008,5485061,1.5,1.82,45.7,23.0,-3.2,-17281.0
Niger,2008,14479804,3.8,3.91,11.4,53.9,-1.1,-16227.0
Nigeria,2008,157143322,2.74,2.77,172.5,40.8,-0.3,-46970.0
North Macedonia,2008,2069952,0.19,0.19,81.4,11.1,0.0,0.0
Northern Mariana Islands,2008,60971,-4.51,1.92,129.2,22.7,-64.2,-3917.0
Norway,2008,4770097,1.3,0.39,15.7,12.7,9.1,43346.0
Oman,2008,2850375,1.89,1.94,9.2,22.9,-0.5,-1347.0
Pakistan,2008,180012960,2.08,2.52,233.5,33.0,-4.5,-807236.0
Palau,2008,20679,0.46,0.36,45.1,11.5,1.0,0.0
Panama,2008,3374475,1.65,1.55,45.4,20.4,1.1,3600.0
Papua New Guinea,2008,6703837,2.62,2.62,14.8,32.6,0.0,0.0
Paraguay,2008,6199809,1.43,1.44,15.6,19.0,-0.1,0.0
Peru,2008,29004085,0.59,1.73,22.7,22.5,-11.4,-330505.0
Philippines,2008,90542145,1.85,2.12,303.7,26.6,-2.7,-246329.0
Poland,2008,38556061,0.08,0.09,126.7,10.8,-0.1,-3583.0
Portugal,2008,10635102,0.09,0.0,116.3,9.8,0.9,9361.0
Puerto Rico,2008,3761122,0.0,0.0,424.1,0.0,0.0,0.0
Qatar,2008,1418131,10.61,1.06,122.4,12.1,95.5,135435.0
Romania,2008,20888685,-1.01,-0.15,90.9,10.6,-8.6,-179564.0
Russia,2008,143359355,0.01,-0.25,8.8,12.0,2.6,369693.0
Rwanda,2008,9501783,2.49,2.95,385.2,38.1,-4.6,-43441.0
Saint Barthelemy,2008,7491,-0.63,0.55,299.6,11.4,-11.8,0.0
"Saint Helena, Ascension, and Tristan da Cunha",2008,7611,0.51,0.51,19.3,11.6,0.0,0.0
Saint Kitts and Nevis,2008,49061,0.85,0.72,188.0,14.5,1.3,0.0
Saint Lucia,2008,159365,0.41,0.84,263.0,15.4,-4.3,0.0
Saint Martin,2008,29359,1.56,1.35,543.7,17.2,2.2,0.0
Saint Pierre and Miquelon,2008,6079,-0.82,0.12,25.1,9.1,-9.4,0.0
Saint Vincent and the Grenadines,2008,104847,-0.36,0.86,269.5,15.6,-12.3,-1285.0
Samoa,2008,189503,0.78,2.0,67.2,25.5,-12.3,-2321.0
San Marino,2008,30746,1.23,0.19,504.0,9.6,10.3,0.0
Sao Tome and Principe,2008,168358,2.18,3.17,174.6,40.7,-9.9,-1674.0
Saudi Arabia,2008,26115002,3.51,1.73,12.1,20.5,17.9,467197.0
Senegal,2008,11918503,3.15,3.23,61.9,39.8,-0.8,-9797.0
Serbia,2008,7307359,-0.52,-0.46,94.3,9.5,-0.6,-4000.0
Seychelles,2008,86378,0.98,0.87,189.8,16.2,1.1,0.0
Sierra Leone,2008,5734162,3.08,2.5,80.1,40.9,5.8,33075.0
Singapore,2008,5046845,1.6,0.83,0.0,11.8,7.7,38604.0
Sint Maarten,2008,36233,2.1,1.03,0.0,14.5,10.7,0.0
Slovakia,2008,5415203,0.08,0.08,112.6,10.6,0.1,0.0
Slovenia,2008,2056915,1.07,0.17,102.1,10.6,9.0,18584.0
Solomon Islands,2008,530486,2.35,2.56,19.0,29.9,-2.1,-1087.0
Somalia,2008,11833475,2.26,3.69,18.9,51.6,-14.4,-169854.0
South Africa,2008,50394494,1.54,1.09,41.5,21.1,4.4,222508.0
